"state","gconcept_best","rank","day"
"District of Columbia","bakery",3,"Friday"
"Ohio","tattoo shop",3,"Friday"
"Rhode Island","liquor store",3,"Friday"
"Illinois","performing arts group",3,"Overall"
"New York","car race track",3,"Overall"
"Oklahoma","stadium",3,"Overall"
"Michigan","plant nursery",3,"Overall"
"Massachusetts","beach",3,"Overall"
"Pennsylvania","city hall",3,"Overall"
"Nevada","transportation service",3,"Overall"
"Colorado","railroad company",2,"Overall"
"New Mexico","gift shop",3,"Overall"
"Texas","rodeo",3,"Overall"
"Louisiana","parking garage",3,"Overall"
"Connecticut","golf course",3,"Overall"
"Utah","lodge",3,"Overall"
"Florida","club",3,"Overall"
"South Carolina","sports complex",3,"Overall"
"North Carolina","soccer field",3,"Overall"
"Arizona","historical landmark",3,"Overall"
"Delaware","liquor store",3,"Overall"
"New Jersey","spa",2,"Overall"
"New Hampshire","department store",3,"Overall"
"Nebraska","home goods store",3,"Overall"
"Oregon","historical landmark",3,"Overall"
"Maine","seafood restaurant",3,"Overall"
"Minnesota","tool store",3,"Overall"
"Idaho","home goods store",3,"Overall"
"Missouri","museum",2,"Overall"
"California","soccer store",3,"Overall"
"Wisconsin","home improvement store",3,"Overall"
"Tennessee","indian restaurant",3,"Overall"
"Georgia","garden",3,"Overall"
"Indiana","cosmetics store",3,"Overall"
"West Virginia","fast food restaurant",3,"Overall"
"Vermont","clothing store",3,"Overall"
"Mississippi","auto parts store",3,"Overall"
"Kansas","cosmetics store",3,"Overall"
"Alabama","rv park",3,"Overall"
"Kentucky","supermarket",3,"Overall"
"Maryland","pub",3,"Overall"
"Virginia","computer store",3,"Overall"
"Ohio","office supply store",3,"Overall"
"Arkansas","resort hotel",2,"Overall"
"Iowa","breakfast restaurant",3,"Overall"
"Washington","seafood market",3,"Overall"
"District of Columbia","museum",3,"Overall"
"Hawaii","place of worship",3,"Overall"
"Rhode Island","liquor store",3,"Overall"
"South Dakota","park",3,"Overall"
"Michigan","appliance store",4,"Wednesday"
"Nevada","japanese restaurant",4,"Wednesday"
"Texas","cultural center",4,"Wednesday"
"Oklahoma","home goods store",4,"Wednesday"
"California","ski store",4,"Wednesday"
"New Hampshire","department store",4,"Wednesday"
"Illinois","mattress store",4,"Wednesday"
"North Carolina","beauty supply store",4,"Wednesday"
"New York","children amusement center",4,"Wednesday"
"Wisconsin","golf course",4,"Wednesday"
"Utah","motel",4,"Wednesday"
"Pennsylvania","city hall",4,"Wednesday"
"New Mexico","american restaurant",4,"Wednesday"
"New Jersey","filipino restaurant",4,"Wednesday"
"Massachusetts","market",4,"Wednesday"
"Delaware","clothing store",4,"Wednesday"
"Tennessee","amusement center",4,"Wednesday"
"Louisiana","historical landmark",4,"Wednesday"
"South Carolina","beach resort",4,"Wednesday"
"Iowa","furniture store",4,"Wednesday"
"Indiana","home improvement store",4,"Wednesday"
"Florida","game store",4,"Wednesday"
"Nebraska","electronics store",4,"Wednesday"
"Mississippi","coffee shop",4,"Wednesday"
"Minnesota","dog park",4,"Wednesday"
"Alabama","cosmetics store",4,"Wednesday"
"Colorado","condominium complex",3,"Wednesday"
"Arizona","visitor center",4,"Wednesday"
